DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean,Borough
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL ,11,363,382,381,Brooklyn
15K530,METROPOLITAN CORPORATE ACADEMY ,17,370,348,348,Brooklyn
15K656,Brooklyn High School of the Arts ,71,416,417,425,Brooklyn
15K698,South Brooklyn Community High School ,17,387,371,368,Brooklyn
16K393,Frederick Douglass Academy IV Seconday School ,29,429,421,424,Brooklyn
16K455,BOYS AND GIRLS HIGH SCHOOL ,143,369,367,366,Brooklyn
16K498,Acorn High School for Social Justice ,34,367,364,364,Brooklyn
16K594,Gotham Professional Arts Academy ,,,,,Brooklyn
17K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,50,401,412,404,Brooklyn
17K408,ACADEMY OF HOSPITALITY AND TOURISM ,31,400,405,399,Brooklyn
17K440,Prospect Heights High School ,12,388,373,374,Brooklyn
17K467,YABC AT ERASMUS CAMPUS ,,,,,Brooklyn
17K469,Campus School of the Humanities at Erasmus Hall ,,,,,Brooklyn
17K470,George Wood Wingate High School ,,,,,Brooklyn
17K489,W E B DUBOIS HIGH SCHOOL ,17,381,344,360,Brooklyn
17K524,International High School @Prospect Hgt ,32,302,339,325,Brooklyn
17K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP ,81,382,387,381,Brooklyn
17K531,SCHOOL FOR HUMAN RIGHTS ,21,357,391,343,Brooklyn
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP ,25,358,378,372,Brooklyn
17K537,HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ,71,361,376,365,Brooklyn
17K539,HS FOR SERVICE AND LEARNING AT ERASMUS ,54,371,366,381,Brooklyn
17K543,SCIENCE TECH RESEARCH HS AT ERASMUS ,68,445,425,415,Brooklyn
17K544,INTERNATIONAL ARTS BUSINESS HS ,49,392,390,381,Brooklyn
17K546,HIGH SCHOOL FOR PUBLIC SERVICE ,83,412,427,420,Brooklyn
17K547,Brooklyn High School for Science and the Environ ,45,391,396,388,Brooklyn
17K548,BROOKLYN HS MUSIC AND THEATER ,37,385,351,381,Brooklyn
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL ,20,356,358,366,Brooklyn
17K590,Medgar Evers College Preparatory High School ,113,459,482,452,Brooklyn
17K600,Clara Barton High School ,282,419,413,411,Brooklyn
17K625,Paul Robeson High School ,121,355,358,348,Brooklyn
18K415,SAMUEL J TILDEN HIGH SCHOOL ,42,328,341,338,Brooklyn
18K500,CANARSIE HIGH SCHOOL ,128,372,373,364,Brooklyn
18K501,YABC AT CANARSIE HIGH SCHOOL ,,,,,Brooklyn
18K515,SOUTH SHORE HIGH SCHOOL ,29,365,352,336,Brooklyn
18K563,IT TAKES A VILLAGE ACADEMY ,,,,,Brooklyn
25Q540,QUEENS ACADEMY ,22,400,395,391,Queens
18K566,BROOKLYN GENERATION SCHOOL ,,,,,Brooklyn
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL ,,,,,Brooklyn
18K569,Kurt Hahn Expeditionary Learning School ,,,,,Brooklyn
18K576,VICTORY COLLEGIATE HIGH SCHOOL ,,,,,Brooklyn
18K578,BROOKLYN BRIDGE ACADEMY OF S SHORE ED CO ,20,389,358,369,Brooklyn
18K589,ARTS & MEDIA PREPARATORY ACADEMY ,,,,,Brooklyn
18K617,High School for Innovation in Advertising and Media ,,,,,Brooklyn
18K629,Cultural Academy for the Arts and Sciences ,,,,,Brooklyn
18K633,High School for Medical Professions ,,,,,Brooklyn
18K635,OLYMPUS ACADEMY ,24,361,365,365,Brooklyn
18K642,Urban Action Academy ,,,,,Brooklyn
18K673,East Brooklyn Community High School ,,,,,Brooklyn
19K409,EAST NEW YORK FAMILY ACADEMY ,61,435,428,414,Brooklyn
19K420,FRANKLIN K LANE HIGH SCHOOL ,140,353,379,341,Brooklyn
19K431,"YOUNG ADULT BOROUGH CTR, THOMAS JEFFERS ",,,,,Brooklyn
19K435,THOMAS JEFFERSON HIGH SCHOOL ,,,,,Brooklyn
19K502,FDNY HIGH SCH DOR FIRE & LIFE ,29,376,375,363,Brooklyn
19K504,HIGH SCHOOL FOR CIVIL RIGHTS ,23,369,372,380,Brooklyn
19K507,PERFORMING ARTS & TECH HIGH SCHOOL ,49,371,363,356,Brooklyn
19K510,World Acad for Total Community Health ,28,370,371,376,Brooklyn
19K583,Multicultural High School ,,,,,Brooklyn
19K615,East New York High School of Transit Technology ,184,413,419,403,Brooklyn
19K618,Academy of Innovative Technology High School ,,,,,Brooklyn
19K639,Brooklyn Lab School ,,,,,Brooklyn
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCH ,50,398,402,378,Brooklyn
19K660,William H Maxwell Voc High School ,49,355,367,355,Brooklyn
19K683,SCHOOL FOR CLASSICS ,,,,,Brooklyn
20K445,NEW UTRECHT HIGH SCHOOL ,317,409,471,407,Brooklyn
